_;_;_;_;_;_;_;x;x;x;x;x;x;x;_;_;x;x;x;x;x;x;x;x;x;x;x;x;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;x;x;x;x;x;_;_;_;x;x;x;x;x;x;x;x;x;x;x;_;_;_;_;x;x;x;x;x;x;x;x;_;_;x;x;x;x;x;x;x;x;x;x;x;_;x;x;x;x;_;_;
_;_;_;_;_;x;x;x;.;.;.;.;.;x;x;_;x;.;.;.;.;.;.;.;.;.;.;.;x;x;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;_;x;x;x;.;x;.;x;_;_;_;x;.;.;.;.;.;.;.;.;.;x;x;_;_;x;x;.;.;.;.;.;.;x;x;x;x;.;.;.;.;.;.;.;.;.;x;_;x;.;.;x;x;x;
_;_;_;_;_;x;.;.;.;.;.;.;.;.;x;_;x;.;.;.;.;.;.;.;.;.;.;.;.;x;_;_;_;_;x;x;x;x;x;x;x;x;x;x;_;_;_;x;.;.;.;x;.;x;_;_;x;x;.;.;.;.;.;.;.;.;.;.;x;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;x;
_;_;_;_;x;x;x;x;.;.;.;.;.;.;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;x;_;_;x;x;x;.;.;.;.;.;.;.;.;x;x;x;x;x;.;.;.;.;.;x;_;_;x;.;.;.;.;.;.;.;.;.;.;x;x;_;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
_;_;_;_;x;.;.;.;.;.;.;.;.;.;.;x;_;x;x;.;.;.;.;.;.;.;.;.;.;x;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;_;_;x;.;.;.;.;.;.;.;.;.;.;x;_;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;x;.;.;.;.;.;.;x;
_;_;x;x;x;.;.;.;.;.;.;.;.;.;.;x;_;x;x;.;.;.;.;.;.;.;.;x;.;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;f;.;.;.;.;.;.;x;_;_;x;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;
_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;x;_;x;.;.;.;.;x;x;x;x;x;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;m;.;.;.;.;.;.;.;.;.;.;x;.;x;x;x;_;
_;_;x;x;x;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;_;_;_;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;_;_;
_;_;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;x;x;_;_;_;_;x;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;f;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;.;x;x;x;.;.;x;x;_;_;
x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;x;_;_;_;_;_;_;_;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;x;x;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;x;_;_;
